SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
2,Friday,6,27,2025,8,57,8,0
14,Friday,6,27,2025,15,0,11,1
2,Friday,6,27,2025,12,12,5,0
7,Friday,6,27,2025,18,48,10,0
3,Friday,6,27,2025,17,33,4,0
4,Friday,6,27,2025,15,23,16,0
6,Friday,6,27,2025,12,58,5,0
11,Friday,6,27,2025,19,46,13,0
14,Friday,6,27,2025,10,27,15,1
1,Friday,6,27,2025,19,55,13,0
2,Friday,6,27,2025,19,57,13,0
5,Friday,6,27,2025,11,24,19,0
3,Friday,6,27,2025,10,3,15,0
11,Friday,6,27,2025,19,48,13,0
4,Friday,6,27,2025,17,36,4,0
7,Friday,6,27,2025,8,14,8,1
1,Friday,6,27,2025,10,0,11,0
8,Friday,6,27,2025,8,8,8,0
6,Friday,6,27,2025,7,19,4,0
11,Friday,6,27,2025,16,3,19,1
14,Friday,6,27,2025,10,10,15,1
1,Friday,6,27,2025,20,29,15,0
2,Friday,6,27,2025,18,56,10,0
9,Friday,6,27,2025,11,40,19,1
2,Friday,6,27,2025,13,55,8,0
10,Friday,6,27,2025,14,51,11,1
8,Friday,6,27,2025,18,29,10,0
11,Friday,6,27,2025,17,0,5,0
14,Friday,6,27,2025,19,19,13,0
4,Friday,6,27,2025,17,17,4,0
3,Friday,6,27,2025,11,28,19,0
14,Friday,6,27,2025,7,39,4,0
5,Friday,6,27,2025,20,29,15,0
1,Friday,6,27,2025,8,32,8,0
6,Friday,6,27,2025,19,42,13,0
6,Friday,6,27,2025,9,42,11,0
6,Friday,6,27,2025,8,39,8,0
14,Friday,6,27,2025,12,22,5,1
5,Friday,6,27,2025,15,32,16,0
6,Friday,6,27,2025,20,29,15,0
10,Friday,6,27,2025,7,31,4,1
8,Friday,6,27,2025,20,3,15,0
13,Friday,6,27,2025,17,51,4,0
1,Friday,6,27,2025,10,26,15,0
6,Friday,6,27,2025,10,59,15,0
12,Friday,6,27,2025,7,52,4,1
7,Friday,6,27,2025,19,48,13,0
8,Friday,6,27,2025,19,54,13,0
7,Friday,6,27,2025,9,17,11,1
14,Friday,6,27,2025,11,23,19,1
10,Friday,6,27,2025,18,16,10,0
13,Friday,6,27,2025,9,12,11,1
6,Friday,6,27,2025,7,23,4,0
3,Friday,6,27,2025,8,49,8,0
12,Friday,6,27,2025,14,43,11,1
12,Friday,6,27,2025,12,12,5,1
5,Friday,6,27,2025,18,44,10,0
10,Friday,6,27,2025,20,21,15,0
6,Friday,6,27,2025,20,25,15,0
8,Friday,6,27,2025,14,23,11,0
4,Friday,6,27,2025,8,39,8,1
12,Friday,6,27,2025,7,2,4,1
13,Friday,6,27,2025,17,1,4,0
12,Friday,6,27,2025,10,54,15,1
2,Friday,6,27,2025,7,4,4,0
5,Friday,6,27,2025,16,5,19,0
1,Friday,6,27,2025,7,48,4,0
13,Friday,6,27,2025,13,42,8,1
9,Friday,6,27,2025,15,35,16,1
5,Friday,6,27,2025,8,9,8,0
7,Friday,6,27,2025,14,41,11,1
9,Friday,6,27,2025,20,38,15,0
10,Friday,6,27,2025,16,4,19,1
4,Friday,6,27,2025,12,21,5,1
10,Friday,6,27,2025,7,14,4,0
1,Friday,6,27,2025,8,58,8,0
4,Friday,6,27,2025,20,8,15,0
9,Friday,6,27,2025,10,19,15,1
11,Friday,6,27,2025,9,53,11,1
4,Friday,6,27,2025,16,51,19,0
7,Friday,6,27,2025,13,49,8,1
14,Friday,6,27,2025,11,22,19,1
8,Friday,6,27,2025,17,49,4,0
13,Friday,6,27,2025,7,31,4,0
10,Friday,6,27,2025,19,6,13,0
4,Friday,6,27,2025,20,37,15,1
4,Friday,6,27,2025,10,25,15,1
9,Friday,6,27,2025,14,39,11,1
1,Friday,6,27,2025,10,40,15,0
2,Friday,6,27,2025,14,4,11,0
7,Friday,6,27,2025,8,33,8,1
13,Friday,6,27,2025,13,6,8,1
9,Friday,6,27,2025,16,2,19,1
13,Friday,6,27,2025,15,51,16,1
5,Friday,6,27,2025,13,2,8,0
11,Friday,6,27,2025,17,29,4,0
14,Friday,6,27,2025,9,35,11,1
3,Friday,6,27,2025,11,32,19,0
14,Friday,6,27,2025,19,5,13,0
11,Friday,6,27,2025,7,16,4,0
4,Friday,6,27,2025,14,55,11,0
8,Friday,6,27,2025,15,53,16,0
1,Friday,6,27,2025,19,6,13,0
10,Friday,6,27,2025,15,45,16,1
11,Friday,6,27,2025,20,34,15,0
1,Friday,6,27,2025,15,34,16,0
8,Friday,6,27,2025,17,26,4,0
3,Friday,6,27,2025,16,58,19,0
12,Friday,6,27,2025,17,25,4,1
