SpotID,Month,Day,Year,Hour,Minute,Second,Status
spot_13,6,Tuesday,2025,7,58,44,0
spot_14,6,Tuesday,2025,7,58,44,1
spot_1,6,Tuesday,2025,7,59,44,0
spot_2,6,Tuesday,2025,7,59,44,0
spot_3,6,Tuesday,2025,7,59,44,0
spot_4,6,Tuesday,2025,7,59,44,0
spot_5,6,Tuesday,2025,7,59,44,1
spot_6,6,Tuesday,2025,7,59,44,0
spot_7,6,Tuesday,2025,7,59,44,1
spot_8,6,Tuesday,2025,7,59,44,0
spot_9,6,Tuesday,2025,7,59,44,1
spot_10,6,Tuesday,2025,7,59,44,1
spot_11,6,Tuesday,2025,7,59,44,1
spot_12,6,Tuesday,2025,7,59,44,1
spot_13,6,Tuesday,2025,7,59,44,0
spot_14,6,Tuesday,2025,7,59,44,1
spot_1,6,Tuesday,2025,8,0,44,0
spot_2,6,Tuesday,2025,8,0,44,0
spot_3,6,Tuesday,2025,8,0,44,0
spot_4,6,Tuesday,2025,8,0,44,0
spot_5,6,Tuesday,2025,8,0,44,1
spot_6,6,Tuesday,2025,8,0,44,0
